Codigo;Tipo de Activo;Vinculado o no;Tipo de Titulo;Emisor;NIT;Tipo Inversion;Tipo Registro;Sisitema TRansaccional;Tipo Moneda;Tipo Sector;Calificacion;Dias Vencimiento;Duracion;VPN;
71717171;;;16;Bancolombia S.A.;8909039388;;1;1;1;2;6;58;0;2536125000;
71717171;;;16;Bancolombia S.A.;8909039388;;1;1;1;2;6;165;0;1018210000;
71717171;;;16;Bancolombia S.A.;8909039388;;1;1;1;2;1;437;0;2025340000;
71717171;;;16;Bancolombia S.A.;8909039388;;1;1;1;2;1;392;0;2077100000;
71717171;;;16;Bancolombia S.A.;8909039388;;1;1;1;2;6;171;0;10114800000;
71717171;;;16;Bancolombia S.A.;8909039388;;1;1;1;2;6;79;0;1515135000;
71717171;;;16;Bancolombia S.A.;8909039388;;1;1;1;2;6;326;0,8072;1975460000;
71717171;;;16;Bancolombia S.A.;8909039388;;1;1;1;2;6;306;0,7568;992260000;
71717171;;;16;Bancolombia S.A.;8909039388;;1;1;1;2;6;260;0;1027750000;
71717171;;;16;Bancolombia S.A.;8909039388;;1;1;1;2;1;713;1,7021;7691760000;
71717171;;;16;Bancolombia S.A.;8909039388;;1;1;1;2;1;717;1,7121;1921000000;
71717171;;;16;Bancolombia S.A.;8909039388;;1;1;1;2;6;122;0,3074;502180000;
71717171;;;16;Bancolombia S.A.;8909039388;;1;1;1;2;1;717;1,7121;480250000;
71717171;;;16;Bbva Colombia S.A.;8600030201;;1;1;1;2;6;296;0,7303;1996460000;
71717171;;;16;Bbva Colombia S.A.;8600030201;;1;1;1;2;6;297;0,7329;2994000000;
71717171;;;16;Bbva Colombia S.A.;8600030201;;1;1;1;2;1;466;1,1272;989120000;
71717171;;;16;Bbva Colombia S.A.;8600030201;;1;1;1;2;1;466;1,1275;2965320000;
71717171;;;16;Bbva Colombia S.A.;8600030201;;1;1;1;2;6;189;0;1017530000;
71717171;;;16;Bbva Colombia S.A.;8600030201;;1;1;1;2;1;470;1,1376;14812350000;
71717171;;;16;Bbva Colombia S.A.;8600030201;;1;1;1;2;6;313;0,7736;992990000;
71717171;;;16;Bbva Colombia S.A.;8600030201;;1;1;1;2;6;330;0,8174;987270000;
71717171;;;16;Bbva Colombia S.A.;8600030201;;1;1;1;2;6;257;0;2016400000;
71717171;;;16;Bbva Colombia S.A.;8600030201;;1;1;1;2;1;424;0;5070450000;
71717171;;;16;Bbva Colombia S.A.;8600030201;;1;1;1;2;1;424;0;1014090000;
71717171;;;16;Bbva Colombia S.A.;8600030201;;1;1;1;2;1;816;1,9265;6687730000;
71717171;;;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;;1;1;1;2;5;169;0,4263;996680000;
71717171;;;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;;1;1;1;2;1;418;1,0253;9815000000;
71717171;;;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;;1;1;1;2;5;172;0,4337;2493625000;
71717171;;;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;;1;1;1;2;5;205;0,5111;4013280000;
71717171;;;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;;1;1;1;2;5;228;0;10064900000;
71717171;;;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;;1;1;1;2;5;327;0,8097;1481265000;
71717171;;;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;;1;1;1;2;5;320;0,7919;1978500000;
71717171;;;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;;1;1;1;2;5;299;0,7385;497850000;
71717171;;;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;;1;1;1;2;5;91;0;2005940000;
71717171;;;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;;1;1;1;2;5;183;0,4618;2484350000;
71717171;;;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;;1;1;1;2;5;134;0,3378;4508415000;
71717171;;;16;Banco De Occidente S.A.;8903002794;;1;1;1;2; 4;204;0;6008460000;
71717171;;;16;Banco De Occidente S.A.;8903002794;;1;1;1;2; 4;236;0;10006600000;
71717171;;;16;Banco De Occidente S.A.;8903002794;;1;1;1;2;1;417;1,0228;3926920000;
71717171;;;16;Banco De Occidente S.A.;8903002794;;1;1;1;2; 4;250;0;6484530000;
71717171;;;16;Banco De Occidente S.A.;8903002794;;1;1;1;2;1;396;0,9691;988870000;
71717171;;;16;Banco De Occidente S.A.;8903002794;;1;1;1;2;1;417;1,0228;1963460000;
71717171;;;16;Banco De Occidente S.A.;8903002794;;1;1;1;2; 4;201;0;5010350000;
71717171;;;16;Banco De Occidente S.A.;8903002794;;1;1;1;2;1;519;1,2408;15181500000;
71717171;;;16;Banco De Occidente S.A.;8903002794;;1;1;1;2;1;520;1,2434;2023700000;
71717171;;;16;Banco De Occidente S.A.;8903002794;;1;1;1;2;1;709;1,6582;25239250000;
71717171;;;16;Banco De Occidente S.A.;8903002794;;1;1;1;2;1;709;1,786;20184400000;
