Orden;Tipo de Registro;Nemo;ISIN;Numero Emisión;Estado;Fecha Registro;Fecha de Emisión;Fecha de Vencimiento;Periodicidad;Modalidad;Días al vencimiento;Moneda;Tipo Tasa;Tipo Tasa Referencia;Spread;Tipo de Calculo;Base de calculo;Precio;Fecha Ultimo Precio;Ultimo precio;Código ISIN2;Precio Limpio;Código ISIN3;TIR;Duracion ;Duracion Modificada ;Convexidad ;Cupon Corrido ;Margen;Calificación ;CALIF;CLASE;Especie;Emisor;Entidad;Rango Plazo;indicador;indicador2;Indicador Calif
18647;D;BPEMINHTA4;COL17CB06W60;0;A;06/04/2016;19/09/2003;29/09/2021;P;V;2001;COP;3;ICP;4;2;0;278,434;;0;;278,434;;12,715;0;0;0;0;4,3848;NACIO;N;;;;;;;;
18648;D;BPEMINHTA4;COL17CB06W78;0;A;06/04/2016;19/09/2003;03/10/2022;P;V;2370;COP;3;ICP;4;2;0;271,976;;0;;271,976;;13,055;0;0;0;0;4,7003;NACIO;N;;;;;;;;
18649;D;BPEMINHTA4;COL17CB06W86;0;A;06/04/2016;19/09/2003;13/11/2023;P;V;2776;COP;3;ICP;4;2;0;267,916;;0;;267,916;;13,165;0;0;0;0;4,8017;NACIO;N;;;;;;;;
18650;D;BPEMINHTA4;COL17CB06W94;0;A;06/04/2016;19/09/2003;16/01/2024;P;V;2840;COP;3;ICP;4;2;0;267,513;;0;;267,513;;13,165;0;0;0;0;4,8017;NACIO;N;;;;;;;;
18651;D;BPEMINHTA4;COL17CB06WA6;0;A;06/04/2016;19/09/2003;15/05/2024;P;V;2959;COP;3;ICP;4;2;0;282,116;;0;;282,116;;12,396;0;0;0;0;4,0901;NACIO;N;;;;;;;;
18652;D;BPEMINHTA4;COL17CB06WB4;0;A;06/04/2016;19/09/2003;14/12/2017;P;V;617;COP;3;ICP;4;2;0;289,937;;0;;289,937;;10,982;0;0;0;0;2,7802;NACIO;N;;;;;;;;
18653;D;BPEMINHTA4;COL17CB06WC2;0;A;06/04/2016;19/09/2003;14/06/2028;P;V;4449;COP;3;ICP;4;2;0;257,183;;0;;257,183;;13,216;0;0;0;0;4,8491;NACIO;N;;;;;;;;
18654;D;BPEMINHTA3;COL17CB06WE8;0;A;06/04/2016;19/09/2003;08/01/2023;P;V;2467;COP;3;ICP;3;2;0;225,248;;0;;225,248;;13,055;0;0;0;0;4,7003;NACIO;N;;;;;;;;
18655;D;BPEMINHTA3;COL17CB06WF5;0;A;06/04/2016;19/09/2003;17/10/2020;P;V;1654;COP;3;ICP;3;2;0;238,675;;0;;238,675;;12,532;0;0;0;0;4,2153;NACIO;N;;;;;;;;
18656;D;BPEMINHTA4;COL17CB06WH1;0;A;06/04/2016;19/09/2003;17/07/2025;P;V;3387;COP;3;ICP;4;2;0;275,472;;0;;275,472;;12,671;0;0;0;0;4,3442;NACIO;N;;;;;;;;
18657;D;BPEMINHTA3;COL17CB06WI9;0;A;06/04/2016;19/09/2003;31/07/2029;P;V;4861;COP;3;ICP;3;2;0;198,44;;0;;198,44;;13,216;0;0;0;0;4,8491;NACIO;N;;;;;;;;
18658;D;BPEMINHTA3;COL17CB06WJ7;0;A;06/04/2016;19/09/2003;20/04/2023;P;V;2569;COP;3;ICP;3;2;0;222,768;;0;;222,768;;13,165;0;0;0;0;4,8017;NACIO;N;;;;;;;;
18659;D;BPEMINHTA4;COL17CB06WK5;0;A;06/04/2016;19/09/2003;24/04/2025;P;V;3303;COP;3;ICP;4;2;0;275,712;;0;;275,712;;12,671;0;0;0;0;4,3442;NACIO;N;;;;;;;;
18660;D;BPEMINHTA3;COL17CB06WL3;0;A;06/04/2016;19/09/2003;12/07/2025;P;V;3382;COP;3;ICP;3;2;0;223,14;;0;;223,14;;12,671;0;0;0;0;4,3442;NACIO;N;;;;;;;;
18661;D;BPEMINHTA4;COL17CB06WM1;0;A;06/04/2016;19/09/2003;28/05/2026;P;V;3702;COP;3;ICP;4;2;0;273,179;;0;;273,179;;12,731;0;0;0;0;4,3996;NACIO;N;;;;;;;;
18662;D;BPEMINHTA3;COL17CB06WN9;0;A;06/04/2016;19/09/2003;18/03/2027;P;V;3996;COP;3;ICP;3;2;0;217,027;;0;;217,027;;12,731;0;0;0;0;4,3996;NACIO;N;;;;;;;;
18663;D;BPEMINHTA4;COL17CB06WO7;0;A;06/04/2016;19/09/2003;26/08/2018;P;V;872;COP;3;ICP;4;2;0;291,344;;0;;291,344;;11,137;0;0;0;0;2,9236;NACIO;N;;;;;;;;
18664;D;BPEMINHTA3;COL17CB06WP4;0;A;06/04/2016;19/09/2003;14/03/2022;P;V;2167;COP;3;ICP;3;2;0;232,534;;0;;232,534;;12,715;0;0;0;0;4,3848;NACIO;N;;;;;;;;
18665;D;BPEMINHTA3;COL17CB06WQ2;0;A;06/04/2016;19/09/2003;04/09/2024;P;V;3071;COP;3;ICP;3;2;0;230,276;;0;;230,276;;12,396;0;0;0;0;4,0901;NACIO;N;;;;;;;;
18666;D;BPEMINHTA4;COL17CB06WR0;0;A;06/04/2016;19/09/2003;16/08/2025;P;V;3417;COP;3;ICP;4;2;0;275,361;;0;;275,361;;12,671;0;0;0;0;4,3442;NACIO;N;;;;;;;;
18667;D;BPEMINHTA3;COL17CB06WU4;0;A;06/04/2016;19/09/2003;11/10/2016;P;V;188;COP;3;ICP;3;2;0;252,775;;0;;252,775;;10,4;0;0;0;0;2,2407;NACIO;N;;;;;;;;
18668;D;BPEMINHTA4;COL17CB06WV2;0;A;06/04/2016;19/09/2003;16/12/2016;P;V;254;COP;3;ICP;4;2;0;287,641;;0;;287,641;;10,399;0;0;0;0;2,2407;NACIO;N;;;;;;;;
18669;D;BPEMINHTA3;COL17CB06WW0;0;A;06/04/2016;19/09/2003;01/02/2029;P;V;4681;COP;3;ICP;3;2;0;200,141;;0;;200,141;;13,216;0;0;0;0;4,8491;NACIO;N;;;;;;;;
18670;D;BPEMINHTA3;COL17CB06WX8;0;A;06/04/2016;19/09/2003;21/02/2019;P;V;1051;COP;3;ICP;3;2;0;252,315;;0;;252,315;;11,137;0;0;0;0;2,9236;NACIO;N;;;;;;;;
18671;D;BPEMINHTA4;COL17CB06WY6;0;A;06/04/2016;19/09/2003;26/11/2019;P;V;1329;COP;3;ICP;4;2;0;285,148;;0;;285,148;;12,191;0;0;0;0;3,9002;NACIO;N;;;;;;;;
18672;D;BPEMINHTA4;COL17CB06WZ3;0;A;06/04/2016;19/09/2003;18/07/2022;P;V;2293;COP;3;ICP;4;2;0;272,396;;0;;272,396;;13,055;0;0;0;0;4,7003;NACIO;N;;;;;;;;
18673;D;BPEMINHTA4;COL17CB06X02;0;A;06/04/2016;19/09/2003;07/11/2022;P;V;2405;COP;3;ICP;4;2;0;271,774;;0;;271,774;;13,055;0;0;0;0;4,7003;NACIO;N;;;;;;;;
18674;D;BPEMINHTA4;COL17CB06X10;0;A;06/04/2016;19/09/2003;20/05/2023;P;V;2599;COP;3;ICP;4;2;0;268,985;;0;;268,985;;13,165;0;0;0;0;4,8017;NACIO;N;;;;;;;;
18675;D;BPEMINHTA4;COL17CB06X28;0;A;06/04/2016;19/09/2003;19/01/2024;P;V;2843;COP;3;ICP;4;2;0;267,493;;0;;267,493;;13,165;0;0;0;0;4,8017;NACIO;N;;;;;;;;
18676;D;BPEMINHTA3;COL17CB06X36;0;A;06/04/2016;19/09/2003;01/09/2024;P;V;3068;COP;3;ICP;3;2;0;230,294;;0;;230,294;;12,396;0;0;0;0;4,0901;NACIO;N;;;;;;;;
18677;D;BPEMINHTA3;COL17CB06X44;0;A;06/04/2016;19/09/2003;19/01/2024;P;V;2843;COP;3;ICP;3;2;0;219,78;;0;;219,78;;13,165;0;0;0;0;4,8017;NACIO;N;;;;;;;;
18678;D;BPEMINHTA3;COL17CB06X51;0;A;06/04/2016;19/09/2003;11/12/2025;P;V;3534;COP;3;ICP;3;2;0;221,886;;0;;221,886;;12,671;0;0;0;0;4,3442;NACIO;N;;;;;;;;
18679;D;BPEMINHTA3;COL17CB06X69;0;A;06/04/2016;19/09/2003;03/11/2017;P;V;576;COP;3;ICP;3;2;0;252,613;;0;;252,613;;10,982;0;0;0;0;2,7802;NACIO;N;;;;;;;;
18680;D;BPEMINHTA3;COL17CB06X77;0;A;06/04/2016;19/09/2003;04/12/2026;P;V;3892;COP;3;ICP;3;2;0;217,825;;0;;217,825;;12,731;0;0;0;0;4,3996;NACIO;N;;;;;;;;
18681;D;BPEMINHTA4;COL17CB06X85;0;A;06/04/2016;19/09/2003;10/09/2028;P;V;4537;COP;3;ICP;4;2;0;256,628;;0;;256,628;;13,216;0;0;0;0;4,8491;NACIO;N;;;;;;;;
18682;D;BPEMINHTA4;COL17CB06X93;0;A;06/04/2016;19/09/2003;13/03/2027;P;V;3991;COP;3;ICP;4;2;0;272,35;;0;;272,35;;12,731;0;0;0;0;4,3996;NACIO;N;;;;;;;;
18683;D;BPEMINHTA4;COL17CB06XA4;0;A;06/04/2016;19/09/2003;28/11/2017;P;V;601;COP;3;ICP;4;2;0;289,802;;0;;289,802;;10,982;0;0;0;0;2,7802;NACIO;N;;;;;;;;
18684;D;BPEMINHTA4;COL17CB06XC0;0;A;06/04/2016;19/09/2003;19/07/2017;P;V;469;COP;3;ICP;4;2;0;289,27;;0;;289,27;;10,787;0;0;0;0;2,5998;NACIO;N;;;;;;;;
18685;D;BPEMINHTA4;COL17CB06XD8;0;A;06/04/2016;19/09/2003;04/02/2022;P;V;2129;COP;3;ICP;4;2;0;278,004;;0;;278,004;;12,715;0;0;0;0;4,3848;NACIO;N;;;;;;;;
18686;D;BPEMINHTA4;COL17CB06XE6;0;A;06/04/2016;19/09/2003;20/08/2016;P;V;136;COP;3;ICP;4;2;0;286,085;;0;;286,085;;10,401;0;0;0;0;2,2416;NACIO;N;;;;;;;;
18687;D;BPEMINHTA4;COL17CB06XF3;0;A;06/04/2016;19/09/2003;07/07/2026;P;V;3742;COP;3;ICP;4;2;0;273,074;;0;;273,074;;12,731;0;0;0;0;4,3996;NACIO;N;;;;;;;;
