Fondo;TIPO ACTIVO;VINCULADO AL FONDO;TIPO DE TÍTULO;EMISOR;NIT;TIPO INVERSIÓN ;TIPO REGISTRO;SISTEMA TRANSACCIONAL;TIPO MONEDA;TIPO SECTOR;CALIFICACIÓN;DÍAS AL VTO.;duración;VPN
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;277;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;291;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;90;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-11;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;18;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-25;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-17;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;18;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;17;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-17;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-17;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;87;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;105;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;165;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;167;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-13;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-19;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-13;0;0.01
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-13;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-28;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;105;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-12;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-12;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-25;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;168;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;101;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;101;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;98;0;-0.01
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;48;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;105;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;19;0;-0.01
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;90;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;213;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-17;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-25;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-25;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;18;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-17;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;8;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-25;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-17;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-25;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-25;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;18;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;18;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;18;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;18;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;121;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;105;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;138;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;218;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;213;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;260;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;215;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;202;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;202;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;90;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;19;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;197;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;165;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;90;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;213;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;18;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;130;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;18;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;107;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;3;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;90;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;165;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;132;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;105;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;165;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;150;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;167;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;165;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;199;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-19;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;151;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-17;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-23;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-25;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;121;0;0.01
