COD;TIPO ACTIVO;VINCULADO AL FONDO;TIPO DE TÍTULO;Emisor;NIT10;TIPO INVERSIÓN ;TIPO REGISTRO;SISTEMA TRANSACCIONAL;TIPO MONEDA;TIPO SECTOR;CALIFICACIÓN;DÍAS AL VTO.;Duración;VPN
9011356;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;4;292;0;5103600000,00
9011356;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;82;0;3922371888,25
9011356;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;4;292;0;10207200000,00
9011356;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;4;183;0;5053300000,00
9011356;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;4;234;0;505205000,00
9011356;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;4;249;0;3019050000,00
9011356;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;4;234;0;3031230000,00
9011356;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;4;234;0;1010410000,00
9011356;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;443;0;3036060000,00
9011356;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;4;285;0;3072870000,00
9011356;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;82;0;3922371888,25
9011356;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;447;0;3032790000,00
9011356;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;82;0;3922371888,25
9011356;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;82;0;3922371888,25
9011356;1;2;16;Banco Itaú S.A;8909039370;2;1;1;1;2;4;267;0;4027720000,00
9011356;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;4;211;0;5143150000,00
9011356;1;2;16;Banco Itaú S.A;8909039370;2;1;1;1;2;4;262;0;5043000000,00
9011356;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;82;0;3922371888,25
9011356;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;6;198;0;5230750000,00
9011356;1;2;16;Banco Itaú S.A;8909039370;2;1;1;1;2;4;267;0;5034650000,00
9011356;1;2;16;Banco Itaú S.A;8909039370;2;1;1;1;2;4;310;0;5237050000,00
9011356;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;6;217;0;5081300000,00
9011356;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;6;202;0;4090600000,00
9011356;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;6;202;0;1022650000,00
9011356;1;2;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;6;250;0;5057300000,00
9011356;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;4;259;0;5040300000,00
9011356;1;2;16;Banco Itaú S.A;8909039370;2;1;1;1;2;4;267;0;5034650000,00
