ID;TIPO ACTIVO;VINCULADO O NO;TIPO TITULO;EMISOR;NIT;TIPO INVERSION;TIPO REGISTRO;SISTEMA TRANSACCIONAL;TIPO MONEDA;TIPO SECTOR;CALIFICACION;DIAS AL VTO; DURACION ;  VPN  ;FIC
9633;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;1;444;0;996980000;VP
9633;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;83;0;2001000000;VP
9633;1;1;16;Corporacion Financiera Colombiana S.A.;8903006536;2;1;1;1;2;1;173;0;3540180000;VP
9633;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;126;0;2262106000;VP
9633;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;129;0;2261886000;VP
9633;1;1;16;Corporacion Financiera Colombiana S.A.;8903006536;2;1;1;1;2;1;181;0;505045000;VP
9633;1;1;16;Leasing Corficolombiana S.A.;8000247028;2;1;1;1;2;1;92;0;506395000;VP
9633;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;290;0;1012620000;VP
9633;1;2;16;Banco Av Villas S.A.;8600358275;2;1;1;1;2;1;1;0;2023540000;VP
9633;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;459;0;1514145000;VP
9633;1;2;16;Banco Gnb Sudameris S.A.;8600507501;2;1;1;1;2;1;459;0;2021840000;VP
9633;1;1;16;Corporacion Financiera Colombiana S.A.;8903006536;2;1;1;1;2;1;99;0;3029610000;VP
9633;1;1;16;Corporacion Financiera Colombiana S.A.;8903006536;2;1;1;1;2;1;194;0;3543540000;VP
9633;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;473;0;2022560000;VP
9633;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;476;0;5053050000;VP
9633;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;111;0;4032160000;VP
9633;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;1;81;0;8071520000;VP
9633;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;1;42;0;4035760000;VP
