COD;TIPO ACTIVO;VINCULADO O NO;TIPÒ TITULO;EMISOR ;NIT;TIPO INVERSION;TIPO REGISTRO;SISTEMA TRANSACCIONAL;TIPO MONEDA;TIPO SECTOR;CALIFICACION;DIAS AL VTO;DURACIÓN;VPN
91011952;1;2;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;1;571;0;3731000000,00
91011952;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;336;0;4101280000,00
91011952;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;356;0;10482700000,00
91011952;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;667;0;6274440000,00
91011952;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;652;0;5080950000,00
91011952;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;451;0;5068900000,00
91011952;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;646;0;3561250000,00
91011952;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;356;0;9434430000,00
91011952;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;356;0;10482700000,00
91011952;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;695;0;4143400000,00
91011952;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;462;0;10071200000,00
91011952;1;2;16;Financiera De Desarrollo Nacional Sa;8605090229;2;1;1;1;4;1;308;0;1550445000,00
91011952;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;448;0;15393900000,00
91011952;2;2;0;Banco Falabella S.A.;9000479818;0;0;0;0;0;0;0;0;53195293,70
91011952;2;2;0;Banco Santander De Negocios Colombia S.A.;9006281103;0;0;0;0;0;0;0;0;11149777729,80
91011952;2;2;0;Banco De Comercio Ext. De Colombia S.A. Bancoldex;8001499236;0;0;0;0;0;0;0;0;122827050,41
91011952;2;1;0;Bbva Colombia S.A.;8600030201;0;0;0;0;0;0;0;0;499999463,99
91011952;2;2;0;Jpmorgan Corporacion Financiera S.A;9001143468;0;0;0;0;0;0;0;0;52895779924,44
91011952;2;2;0;Banco Popular S.A.;8600077389;0;0;0;0;0;0;0;0;43324304108,70
91011952;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;139402042218,65
91011952;2;2;0;Banco Colpatria Multibanca Colpatria S.A.;8600345941;0;0;0;0;0;0;0;0;1584027496,70
91011952;2;2;0;Banco Itaú S.A;8909039370;0;0;0;0;0;0;0;0;2045622647,68
91011952;2;1;0;Bbva Colombia S.A.;8600030201;0;0;0;0;0;0;0;0;41347856800,10
91011952;2;2;0;Banco Agrario De Colombia S.A;8000378008;0;0;0;0;0;0;0;0;106802973,65
91011952;2;2;0;Banco Gnb Sudameris S.A.;8600507501;0;0;0;0;0;0;0;0;211454462238,70
