CÓDIGO DEL FIC;TIPO ACTIVO;VINCULADO AL FONDO;TIPO DE TITULO;EMISOR;NIT;TIPO INVERSION ;TIPO REGISTRO;SISTEMA TRANSACCIONAL;TIPO MONEDA;TIPO SECTOR;CALIFICACION;DIAS AL VTO;DURACIÓN; VPN 
85076216;1;2;34;BANCOLOMBIA S.A.;8909039388;2;1;1;1;2;45;1;0;243252000
85076216;1;2;34;BANCOLOMBIA S.A.;8909039388;2;1;1;1;2;45;1;0;129351600
85076216;1;2;34;BANCOLOMBIA S.A.;8909039388;2;1;1;1;2;45;1;0;152424000
85076216;1;2;34;BANCOLOMBIA S.A.;8909039388;2;1;1;1;2;45;1;0;626400000
85076216;1;2;34;BANCOLOMBIA S.A.;8909039388;2;1;1;1;2;45;1;0;187920000
85076216;1;2;34;BANCOLOMBIA S.A.;8909039388;2;1;1;1;2;45;1;0;250560000
85076216;1;2;34;BANCOLOMBIA S.A.;8909039388;2;1;1;1;2;45;1;0;48796560
85076216;1;2;34;BANCOLOMBIA S.A.;8909039388;2;1;1;1;2;45;1;0;65604960
85076216;1;2;34;BANCOLOMBIA S.A.;8909039388;2;1;1;1;2;45;1;0;86130000
85076216;1;2;34;BANCOLOMBIA S.A.;8909039388;2;1;1;1;2;45;1;0;125280000
85076216;1;2;34;BANCOLOMBIA S.A.;8909039388;2;1;1;1;2;45;1;0;208632960
85076216;1;2;34;BANCOLOMBIA S.A.;8909039388;2;1;1;1;2;45;1;0;208800000
85076216;1;2;34;BANCOLOMBIA S.A.;8909039388;2;1;1;1;2;45;1;0;83520000
85076216;1;2;34;BANCOLOMBIA S.A.;8909039388;2;1;1;1;2;45;1;0;70992000
85076216;1;2;34;BANCOLOMBIA S.A.;8909039388;2;1;1;1;2;45;1;0;83457360
85076216;1;2;34;BANCOLOMBIA S.A.;8909039388;2;1;1;1;2;45;1;0;104400000
85076216;1;2;34;BANCOLOMBIA S.A.;8909039388;2;1;1;1;2;45;1;0;480240
85076216;1;2;34;BANCOLOMBIA S.A.;8909039388;2;1;1;1;2;45;1;0;30338640
85076216;1;2;34;BANCOLOMBIA S.A.;8909039388;2;1;1;1;2;45;1;0;31821120
85076216;1;2;34;BANCOLOMBIA S.A.;8909039388;2;1;1;1;2;45;1;0;41760000
85076216;1;1;34;BANCO DE BOGOTA S.A.;8600029644;2;1;1;1;2;45;1;0;14514000
85076216;1;1;34;BANCO DE BOGOTA S.A.;8600029644;2;1;1;1;2;45;1;0;134874000
85076216;1;1;34;BANCO DE BOGOTA S.A.;8600029644;2;1;1;1;2;45;1;0;133930000
85076216;1;1;34;BANCO DE BOGOTA S.A.;8600029644;2;1;1;1;2;45;1;0;188092000
85076216;1;2;34;Celsia S.A. E.S.P.;8110303227;2;1;1;1;1;45;1;0;20388000
