ID;TIPO ACTIVO;VINCULADO O NO;TIPO TITULOS;EMISOR;NIT;TIPO INVERSION;TIPO REGISTRO;SISTEMA TRANSACCIONAL;TIPO MONEDA;TIPO SECTOR;CALIFICACION;DIAS AL VTO;DURACIÓN;VPN;
9011403;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;54;0;5310650000;
9011403;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;54;0;5310650000;
9011403;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;70;0;20833800000;
9011403;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;915;0;5703700000;
9011403;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;915;0;3422220000;
9011403;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;915;0;2281480000;
9011403;2;2;0;Banco Agrario De Colombia S.A;8000378008;0;0;0;0;0;0;0;0;32396414001;
9011403;2;2;0;Banco Av Villas S.A.;8600358275;0;0;0;0;0;0;0;0;575591644;
9011403;2;2;0;Bbva Colombia S.A.;8600030201;0;0;0;0;0;0;0;0;129092078252;
9011403;2;2;0;Banco De Bogota S.A.;8600029644;0;0;0;0;0;0;0;0;70209366467;
9011403;2;2;0;Citibank Colombia S.A.;8600511354;0;0;0;0;0;0;0;0;1187902365;
9011403;2;2;0;Banco Colpatria;8901001806;0;0;0;0;0;0;0;0;4161074830;
9011403;2;2;0;Banco Corpbanca Colombia S.A;8909039370;0;0;0;0;0;0;0;0;820640459;
9011403;2;2;0;Banco Davivienda S.A.;8600343137;0;0;0;0;0;0;0;0;31209558662;
9011403;2;2;0;Banco Davivienda S.A.;8600343137;0;0;0;0;0;0;0;0;281487261;
9011403;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;4259832263;
9011403;2;2;0;Banco Pichincha S.A.;8902007567;0;0;0;0;0;0;0;0;12774570;
9011403;2;2;0;Banco Popular S.A.;8600077389;0;0;0;0;0;0;0;0;153088399841;
9011403;2;2;0;Banco Gnb Sudameris S.A.;8600507501;0;0;0;0;0;0;0;0;28396655876;
9011403;2;2;0;Bancolombia S.A.;8909039388;0;0;0;0;0;0;0;0;9608132955;
9011403;2;2;0;Banco Corpbanca Colombia S.A;8909039370;0;0;0;0;0;0;0;0;3263886511;
9011403;2;2;0;Banco Caja Social;8600073354;0;0;0;0;0;0;0;0;2357436782;
9011403;2;2;0;Banco Popular S.A.;8600077389;0;0;0;0;0;0;0;0;3681893;
9011403;2;2;0;Bbva Colombia S.A.;8600030201;0;0;0;0;0;0;0;0;55328428;
9011403;2;2;0;Bbva Colombia S.A.;8600030201;0;0;0;0;0;0;0;0;44266532;
9011403;2;2;0;Bbva Colombia S.A.;8600030201;0;0;0;0;0;0;0;0;19294660;
9011403;2;2;0;Banco De Bogota S.A.;8600029644;0;0;0;0;0;0;0;0;36302647;
9011403;2;2;0;Banco Colpatria;8901001806;0;0;0;0;0;0;0;0;1115396;
9011403;2;2;0;Banco Davivienda S.A.;8600343137;0;0;0;0;0;0;0;0;24903651;
9011403;2;2;0;Banco Davivienda S.A.;8600343137;0;0;0;0;0;0;0;0;50557271;
9011403;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;128767;
9011403;2;2;0;Banco Pichincha S.A.;8902007567;0;0;0;0;0;0;0;0;548000;
9011403;2;2;0;Bancolombia S.A.;8909039388;0;0;0;0;0;0;0;0;4192129;
9011403;2;2;0;Bancolombia S.A.;8909039388;0;0;0;0;0;0;0;0;6450289;
9011403;2;2;0;Banco Corpbanca Colombia S.A;8909039370;0;0;0;0;0;0;0;0;10000000;
9011427;1;2;3;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;1;498;0;2019400000;
