FONDO;TIPO ACTIVO;VINCULADO O NO;TIPÒ TITULO;EMISOR;NIT;TIPO INVERSION;TIPO REGISTRO;SISTEMA TRANSACCIONAL;TIPO MONEDA;TIPO SECTOR;CALIFICACION;DIAS AL VTO;DURACION;VPN
8507623;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;258;0;503640000
8507623;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;60;0;1002650000
8507623;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;77;0;1505490000
8507623;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;340;0;3026670000
8507623;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;359;0;3017460000
8507623;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;429;0;3013260000
8507623;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;340;0;1514505000
8507623;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;67;0;502480000
8507623;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;468;0;2035960000
8507623;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;61;0;1012940000
8507623;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;74;0;2079000000
8507623;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;128;0;2047400000
8507623;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;577;0;1527465000
8507623;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;148;0;2045660000
8507623;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;421;0;2020840000
8507623;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;428;0;4037160000
8507623;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;619;0;4535955000
8507623;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;435;0;4536720000
8507623;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;620;0;2015660000
8507623;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;580;0;3191700000
8507623;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;116;0;5063400000
8507623;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;300;0;3042240000
8507623;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;5;0;1004580000
8507623;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;13;0;3010470000
8507623;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;128;0;1508310000
8507623;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;229;0;503545000
8507623;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;724;0;1005190000
8507623;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;391;0;1001380000
8507623;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;209;0;3004950000
8507623;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;245;0;1499550000
8507623;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;116;0;6004200000
8507623;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;481;0;4992700000
8507623;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;281;0;3015150000
8507623;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;192;0;526090000
8507623;1;2;16;Leasing Bancoldex S.A. Compañia De Financiamiento;8002253859;2;1;1;1;2;1;39;0;1010900000
8507623;1;2;16;Leasing Bancoldex S.A. Compañia De Financiamiento;8002253859;2;1;1;1;2;1;422;0;1011180000
8507623;1;2;16;Leasing Corficolombiana S.A.;8000247028;2;1;1;1;2;1;439;0;993920000
8507623;1;2;16;Leasing Corficolombiana S.A.;8000247028;2;1;1;1;2;1;29;0;1013680000
8507623;1;2;16;Leasing Corficolombiana S.A.;8000247028;2;1;1;1;2;1;227;0;2037500000
8507623;1;2;16;Banco Av Villas S.A.;8600358275;2;1;1;1;2;1;291;0;4077680000
8507623;1;2;16;Banco Av Villas S.A.;8600358275;2;1;1;1;2;1;421;0;1010480000
8507623;1;2;16;Compañia De Financiamiento Tuya Sa;8600323303;2;1;1;1;2;14;11;0;3049230000
8507623;1;2;16;Compañia De Financiamiento Tuya Sa;8600323303;2;1;1;1;2;14;268;0;1008530000
8507623;1;2;16;Compañia De Financiamiento Tuya Sa;8600323303;2;1;1;1;2;14;100;0;2034540000
8507623;1;2;16;Compañia De Financiamiento Tuya Sa;8600323303;2;1;1;1;2;1;127;0;2044480000
8507623;1;2;16;Compañia De Financiamiento Tuya Sa;8600323303;2;1;1;1;2;14;352;0;1002650000
8507623;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;1;183;0;29355600000
8507623;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;1;92;0;4944100000
8507623;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;1;92;0;9888200000
8507623;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;1;92;0;4944100000
8507623;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;1;92;0;15821120000
8507623;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;1;1;0;999880000
8507623;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;1;1;0;1999760000
8507623;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;1;1;0;14998200000
8507623;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;1;1;0;199976000
8507623;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;1;1;0;299964000
8507623;2;2;0;Banco Coomeva S.A. Bancoomeva;9004061505;0;0;0;0;0;0;0;0;9465276473.21
8507623;2;2;0;Banco Coomeva S.A. Bancoomeva;9004061505;0;0;0;0;0;0;0;0;1249936.11
8507623;2;2;0;Banco Falabella S.A.;9000479818;0;0;0;0;0;0;0;0;1675100
8507623;2;2;0;Banco Falabella S.A.;9000479818;0;0;0;0;0;0;0;0;29339508404.95
8507623;2;2;0;Banco Cooperativo Coopcentral;8902030889;0;0;0;0;0;0;0;0;1712810.57
8507623;2;2;0;Banco Cooperativo Coopcentral;8902030889;0;0;0;0;0;0;0;0;7303053.56
8507623;2;2;0;Banco Popular S.A.;8600077389;0;0;0;0;0;0;0;0;3342761.38
8507623;2;2;0;Banco Popular S.A.;8600077389;0;0;0;0;0;0;0;0;50653270454.53
8507623;2;2;0;Banco Santander De Negocios Colombia S.A.;9006281103;0;0;0;0;0;0;0;0;1320000
8507623;2;2;0;Banco Santander De Negocios Colombia S.A.;9006281103;0;0;0;0;0;0;0;0;20582775769.12
8507623;2;1;0;Corporacion Financiera Colombiana S.A.;8903006536;0;0;0;0;0;0;0;0;0
8507623;2;2;0;Banco Pichincha S.A.;8902007567;0;0;0;0;0;0;0;0;1797412.25
8507623;2;2;0;Banco Pichincha S.A.;8902007567;0;0;0;0;0;0;0;0;16323873.12
8507623;2;2;0;Banco Gnb Sudameris S.A.;8600507501;0;0;0;0;0;0;0;0;36170371935.96
8507623;2;2;0;Banco Caja Social;8600073354;0;0;0;0;0;0;0;0;4912511
8507623;2;2;0;Banco Caja Social;8600073354;0;0;0;0;0;0;0;0;1790733.25
8507623;2;2;0;Banco Gnb Sudameris S.A.;8600507501;0;0;0;0;0;0;0;0;1501464.58
8507623;2;2;0;Helm Bank;8600076603;0;0;0;0;0;0;0;0;89304019.35
8507623;2;2;0;Helm Bank;8600076603;0;0;0;0;0;0;0;0;1443507.55
8507623;2;2;0;Banco Gnb Sudameris S.A.;8600507501;0;0;0;0;0;0;0;0;1086642.15
8507623;2;1;0;Corporacion Financiera Colombiana S.A.;8903006536;0;0;0;0;0;0;0;0;57790442096.42
8507623;2;2;0;Banco Gnb Sudameris S.A.;8600507501;0;0;0;0;0;0;0;0;17347895323.17
8507623;2;2;0;Banco Agrario De Colombia S.A;8000378008;0;0;0;0;0;0;0;0;2159694.16
8507623;2;2;0;Banco Corpbanca Colombia S.A;8909039370;0;0;0;0;0;0;0;0;1778473.3
8507623;2;2;0;Banco Davivienda S.A.;8600343137;0;0;0;0;0;0;0;0;5890699289.29
8507623;2;2;0;Banco Colpatria Multibanca Colpatria S.A.;8600345941;0;0;0;0;0;0;0;0;797596850.77
8507623;2;2;0;Bbva Colombia S.A.;8600030201;0;0;0;0;0;0;0;0;740582105.21
8507623;2;2;0;Banco Popular S.A.;8600077389;0;0;0;0;0;0;0;0;0
